drug_uri,drug_label,mesh_id,word_list_term
http://id.nlm.nih.gov/mesh/C061610,"2-amino-1,9-dihydro-9-(3-hydroxy-4-(hydroxymethyl)cyclopentyl)-6h-purine-6-one",C061610,urine
http://id.nlm.nih.gov/mesh/D001548,benzalkonium compounds,D001548,compound
http://id.nlm.nih.gov/mesh/D019774,blood coagulation factor inhibitors,D019774,fact
http://id.nlm.nih.gov/mesh/C021623,bactericidal permeability increasing protein,C021623,ability
http://id.nlm.nih.gov/mesh/D053380,tumor necrosis factor ligand superfamily member 15,D053380,member
http://id.nlm.nih.gov/mesh/C070722,"virion host shutoff protein, simplexvirus",C070722,simple
http://id.nlm.nih.gov/mesh/D043165,angiostatic proteins,D043165,proteins
http://id.nlm.nih.gov/mesh/D008777,methyltestosterone,D008777,test
http://id.nlm.nih.gov/mesh/D000069464,solifenacin succinate,D000069464,life
http://id.nlm.nih.gov/mesh/C557707,iron isomaltoside 1000,C557707,1000
http://id.nlm.nih.gov/mesh/D001548,benzalkonium compounds,D001548,compounds
http://id.nlm.nih.gov/mesh/C057071,4-(3-amido-4-phenyl-2-azetidinonyl)-1-phenylacetic acid,C057071,phenylacetic
http://id.nlm.nih.gov/mesh/C559369,"amblyomin-x protein, amblyomma cajennense",C559369,protein
http://id.nlm.nih.gov/mesh/D008528,mefenamic acid,D008528,mefenamic
http://id.nlm.nih.gov/mesh/D007052,ibuprofen,D007052,ibuprofen
http://id.nlm.nih.gov/mesh/C009402,"amylase, phosphates, proteases drug combinations",C009402,nations
http://id.nlm.nih.gov/mesh/D026422,s-nitrosoglutathione,D026422,glutathione
http://id.nlm.nih.gov/mesh/C000706508,vip-elp fusion molecule pb1046,C000706508,molecule
http://id.nlm.nih.gov/mesh/D034261,epothilones,D034261,ones
http://id.nlm.nih.gov/mesh/C545956,idrabiotaparinux,C545956,biota
http://id.nlm.nih.gov/mesh/C016401,"1,9-dimethylmethylene blue",C016401,blue
http://id.nlm.nih.gov/mesh/C007005,carprofen,C007005,carprofen
http://id.nlm.nih.gov/mesh/C556203,"(1s,5r)-(((4s)-azepan-4-ylamino)carbonyl)-7-oxo-2,6-diazabicyclo(3.2.0)heptane-6-sulfonic acid",C556203,carbonyl
http://id.nlm.nih.gov/mesh/C077219,"small inducible cytokine subfamily e, member 1",C077219,inducible
http://id.nlm.nih.gov/mesh/C579022,14-o-phosphonooxymethyltriptolide disodium salt,C579022,sodium
http://id.nlm.nih.gov/mesh/D008730,methoxsalen,D008730,sale
http://id.nlm.nih.gov/mesh/C034818,"methyl 6,7-dimethoxy-4-ethyl-beta-carboline-3-carboxylate",C034818,carboxylate
http://id.nlm.nih.gov/mesh/D015097,3-mercaptopropionic acid,D015097,propionic
http://id.nlm.nih.gov/mesh/D005781,"gelatin sponge, absorbable",D005781,able
http://id.nlm.nih.gov/mesh/D010440,peptichemio,D010440,chem
http://id.nlm.nih.gov/mesh/D019774,blood coagulation factor inhibitors,D019774,inhibit
http://id.nlm.nih.gov/mesh/D006895,hydroxyethyl starch derivatives,D006895,arch
http://id.nlm.nih.gov/mesh/D002751,chlortetracycline,D002751,clin
http://id.nlm.nih.gov/mesh/C044245,"1,2-diaminocyclohexaneplatinum ii citrate",C044245,latin
http://id.nlm.nih.gov/mesh/D010653,phenylbutazone,D010653,phenylbutazone
http://id.nlm.nih.gov/mesh/D000077944,alefacept,D000077944,face
http://id.nlm.nih.gov/mesh/C011246,essential 303 forte,C011246,essential
http://id.nlm.nih.gov/mesh/D002741,chlorotrianisene,D002741,rian
http://id.nlm.nih.gov/mesh/D008110,liver extracts,D008110,liver
http://id.nlm.nih.gov/mesh/C039711,"attacin antibacterial protein, insect",C039711,bacteria
http://id.nlm.nih.gov/mesh/C083031,"4,4-dimethyl-1,3-oxazolidine, 3,4,4-trimethyl-1,3-oxazolidine drug combination",C083031,drug
http://id.nlm.nih.gov/mesh/C000628158,"1, 2-benzenedicarboxylic acid, mono (2-ethylhexyl) ester",C000628158,dicarboxylic
http://id.nlm.nih.gov/mesh/C083031,"4,4-dimethyl-1,3-oxazolidine, 3,4,4-trimethyl-1,3-oxazolidine drug combination",C083031,tion
http://id.nlm.nih.gov/mesh/D002483,"cellulose, oxidized",D002483,oxidized
http://id.nlm.nih.gov/mesh/D037662,pulmonary surfactant-associated protein a,D037662,assoc
http://id.nlm.nih.gov/mesh/D008616,mephentermine,D008616,term
http://id.nlm.nih.gov/mesh/D008702,methaqualone,D008702,alone
http://id.nlm.nih.gov/mesh/D037662,pulmonary surfactant-associated protein a,D037662,associated
http://id.nlm.nih.gov/mesh/D005338,fibrin fibrinogen degradation products,D005338,products
http://id.nlm.nih.gov/mesh/C577155,evolocumab,C577155,evol
http://id.nlm.nih.gov/mesh/C000711667,astegolimab,C000711667,lima
http://id.nlm.nih.gov/mesh/C421124,drotrecogin alfa activated,C421124,activate
http://id.nlm.nih.gov/mesh/C077219,"small inducible cytokine subfamily e, member 1",C077219,subfamily
http://id.nlm.nih.gov/mesh/C114209,herbal preparation pc-spes,C114209,ratio
http://id.nlm.nih.gov/mesh/C021623,bactericidal permeability increasing protein,C021623,increasing
http://id.nlm.nih.gov/mesh/D015740,calcitonin gene-related peptide,D015740,related
http://id.nlm.nih.gov/mesh/D004917,erythromycin,D004917,erythromycin
http://id.nlm.nih.gov/mesh/C000626885,"dj-1 based peptide, nd-13",C000626885,based
http://id.nlm.nih.gov/mesh/C037558,"almitrine, raubasine drug combination",C037558,basin
http://id.nlm.nih.gov/mesh/D000077465,cabergoline,D000077465,berg
http://id.nlm.nih.gov/mesh/D011294,prenalterol,D011294,alter
http://id.nlm.nih.gov/mesh/C009402,"amylase, phosphates, proteases drug combinations",C009402,ease
http://id.nlm.nih.gov/mesh/C485106,"(4,6-dimethyl-1-oxypyrimidin-5-yl)(4-diphenylamino-4'-methyl-(1,4')bipiperidinyl-1'-yl)methanone",C485106,diphenyl
http://id.nlm.nih.gov/mesh/C039304,calpain inhibitors,C039304,pain
http://id.nlm.nih.gov/mesh/C556203,"(1s,5r)-(((4s)-azepan-4-ylamino)carbonyl)-7-oxo-2,6-diazabicyclo(3.2.0)heptane-6-sulfonic acid",C556203,carbon
http://id.nlm.nih.gov/mesh/D006916,5-hydroxytryptophan,D006916,tryptophan
http://id.nlm.nih.gov/mesh/C028498,evening primrose oil,C028498,even
http://id.nlm.nih.gov/mesh/D019774,blood coagulation factor inhibitors,D019774,inhibitors
http://id.nlm.nih.gov/mesh/D005749,gastric inhibitory polypeptide,D005749,gastric
http://id.nlm.nih.gov/mesh/C000712788,trastuzumab biosimilar hlx02,C000712788,similar
http://id.nlm.nih.gov/mesh/C033257,bl-p 2013,C033257,2013
http://id.nlm.nih.gov/mesh/D053590,interleukin 1 receptor antagonist protein,D053590,receptor
http://id.nlm.nih.gov/mesh/D053380,tumor necrosis factor ligand superfamily member 15,D053380,family
http://id.nlm.nih.gov/mesh/C014215,tetrahydropalmatine,C014215,palma
http://id.nlm.nih.gov/mesh/C000711687,cobicistat mixture with darunavir,C000711687,mixture
http://id.nlm.nih.gov/mesh/C432083,"4'-(4,4-difluoro-5-(2-(4-dimethylaminopiperidino)-2-oxoethylidene)-2,3,4,5-tetrahydro-1h-1-benzoazepine-1-carbonyl)-2-phenylbenzanilide",C432083,pine
http://id.nlm.nih.gov/mesh/C046083,"2,2-dimethylpenam sulfone",C046083,pena
http://id.nlm.nih.gov/mesh/C034876,cpda solutions,C034876,tions
http://id.nlm.nih.gov/mesh/D000082,acetaminophen,D000082,acetaminophen
http://id.nlm.nih.gov/mesh/C000626956,"(1-methyl-1h-indol-5-yl)-(3,4,5-trimethoxy-phenyl)-methanone",C000626956,phen
http://id.nlm.nih.gov/mesh/D002064,buserelin,D002064,buser
http://id.nlm.nih.gov/mesh/C063776,propacetamol,C063776,pace
http://id.nlm.nih.gov/mesh/C520704,tremelimumab,C520704,treme
http://id.nlm.nih.gov/mesh/D000077728,"cilastatin, imipenem drug combination",D000077728,last
http://id.nlm.nih.gov/mesh/D015718,fibrin tissue adhesive,D015718,tissue
http://id.nlm.nih.gov/mesh/C084012,"1,1-diethyl-2-hydroxy-2-nitrosohydrazine",C084012,hydra
http://id.nlm.nih.gov/mesh/C008860,"phenylmercuric nitrate, basic",C008860,basic
http://id.nlm.nih.gov/mesh/D064699,dexmethylphenidate hydrochloride,D064699,date
http://id.nlm.nih.gov/mesh/D000111,acetylcysteine,D000111,tein
http://id.nlm.nih.gov/mesh/C018108,morphine-3-glucuronide,C018108,glucuronide
http://id.nlm.nih.gov/mesh/C112304,"1-(2-amino-4-methanesulfonamidophenoxy)-2-(n-(3,4-dimethoxyphenethyl)-n-methylamino)ethane",C112304,methane
http://id.nlm.nih.gov/mesh/C556203,"(1s,5r)-(((4s)-azepan-4-ylamino)carbonyl)-7-oxo-2,6-diazabicyclo(3.2.0)heptane-6-sulfonic acid",C556203,amino
http://id.nlm.nih.gov/mesh/C038864,"4-(2-(5,6,7,8-tetrahydro-5,5,8,8-tetramethyl-2-naphthalenyl)-1-propenyl)benzoic acid",C038864,benzoic
http://id.nlm.nih.gov/mesh/D001127,arginine vasopressin,D001127,press
http://id.nlm.nih.gov/mesh/D006826,hycanthone,D006826,cant
http://id.nlm.nih.gov/mesh/D006048,"gold colloid, radioactive",D006048,tive
http://id.nlm.nih.gov/mesh/C030592,3-methylfentanyl,C030592,fent
http://id.nlm.nih.gov/mesh/C077219,"small inducible cytokine subfamily e, member 1",C077219,small
http://id.nlm.nih.gov/mesh/D000077239,meloxicam,D000077239,meloxicam
http://id.nlm.nih.gov/mesh/D001973,bromodeoxyuridine,D001973,mode
http://id.nlm.nih.gov/mesh/C011499,methanol extraction residue (mer) tubercle bacillus fraction,C011499,action
http://id.nlm.nih.gov/mesh/C058251,carebastine,C058251,care
http://id.nlm.nih.gov/mesh/C469709,rasburicase,C469709,case
http://id.nlm.nih.gov/mesh/D006495,"heparin, low-molecular-weight",D006495,molecular
http://id.nlm.nih.gov/mesh/C032405,"11-deoxy-16-phenoxy-17,18,19,20-tetranorprostaglandin e1",C032405,gland
http://id.nlm.nih.gov/mesh/C000706508,vip-elp fusion molecule pb1046,C000706508,sion
http://id.nlm.nih.gov/mesh/D019774,blood coagulation factor inhibitors,D019774,ulation
http://id.nlm.nih.gov/mesh/C000628506,catechol functionalized-chitosan,C000628506,function
http://id.nlm.nih.gov/mesh/D000068737,tolterodine tartrate,D000068737,erod
http://id.nlm.nih.gov/mesh/C520671,"(2-(4-(2-benzimidazol-2ylthio)ethyl)piperazin-1yl)-n-(2,4-bis(methylthio)-6-methyl-3-pyridyl)acetamide",C520671,acetamide
http://id.nlm.nih.gov/mesh/C011499,methanol extraction residue (mer) tubercle bacillus fraction,C011499,traction
http://id.nlm.nih.gov/mesh/C001470,4-ipomeanol,C001470,mean
http://id.nlm.nih.gov/mesh/C081479,"pgip protein, plant",C081479,plant
http://id.nlm.nih.gov/mesh/D006048,"gold colloid, radioactive",D006048,active
http://id.nlm.nih.gov/mesh/C409448,"2-acyl-5,8-dimethoxy-1,4-naphthoquinone",C409448,acyl
http://id.nlm.nih.gov/mesh/D043169,endostatins,D043169,endo
http://id.nlm.nih.gov/mesh/C011499,methanol extraction residue (mer) tubercle bacillus fraction,C011499,residue
http://id.nlm.nih.gov/mesh/C009402,"amylase, phosphates, proteases drug combinations",C009402,combinations
http://id.nlm.nih.gov/mesh/C000626956,"(1-methyl-1h-indol-5-yl)-(3,4,5-trimethoxy-phenyl)-methanone",C000626956,none
http://id.nlm.nih.gov/mesh/D015737,nisoldipine,D015737,sold
http://id.nlm.nih.gov/mesh/C039613,"6-heptyne-2,5-diamine",C039613,tyne
http://id.nlm.nih.gov/mesh/D007370,interferon type i,D007370,type
http://id.nlm.nih.gov/mesh/C044162,leukoregulin,C044162,regul
http://id.nlm.nih.gov/mesh/C010463,n-hexanal,C010463,anal
http://id.nlm.nih.gov/mesh/C117343,red yeast rice,C117343,east
http://id.nlm.nih.gov/mesh/D009675,novobiocin,D009675,novobiocin
http://id.nlm.nih.gov/mesh/C121628,"bmtxkbeta1 protein, buthus martensii",C121628,thus
http://id.nlm.nih.gov/mesh/C066750,proxigermanium,C066750,german
http://id.nlm.nih.gov/mesh/C047652,"safflower oil, lecithin emulsion",C047652,lower
http://id.nlm.nih.gov/mesh/C116277,3-formyl-6-methoxy-2-(4-methoxyphenyl)indole,C116277,form
http://id.nlm.nih.gov/mesh/C574534,"sv-66 protein, simulium vittatum",C574534,vitta
http://id.nlm.nih.gov/mesh/D005749,gastric inhibitory polypeptide,D005749,tory
http://id.nlm.nih.gov/mesh/D016572,cyclosporine,D016572,cyclosporine
http://id.nlm.nih.gov/mesh/D003091,colistin,D003091,list
http://id.nlm.nih.gov/mesh/C008287,lipid mobilizing substance,C008287,substance
http://id.nlm.nih.gov/mesh/D000068338,everolimus,D000068338,ever
http://id.nlm.nih.gov/mesh/D025362,streptogramin group a,D025362,group
http://id.nlm.nih.gov/mesh/C025292,diacetylrhein,C025292,hein
http://id.nlm.nih.gov/mesh/D015740,calcitonin gene-related peptide,D015740,lated
http://id.nlm.nih.gov/mesh/C059667,1-carboxysalsoline,C059667,also
http://id.nlm.nih.gov/mesh/C021623,bactericidal permeability increasing protein,C021623,creasing
http://id.nlm.nih.gov/mesh/D002220,carbamazepine,D002220,carbamazepine
http://id.nlm.nih.gov/mesh/C053376,"pathogenesis-related proteins, plant",C053376,genes
http://id.nlm.nih.gov/mesh/D007505,iron-dextran complex,D007505,complex
http://id.nlm.nih.gov/mesh/D003703,demecolcine,D003703,ecol
